TITLE,LINK,DESCRIPTIONS,SPEAKERS,LOCATIONS,TIME
Torturing Excel to do stats,http://ire.org/events-and-training/event/975/1434/,"You don't need a fancy pants program to compute several different sorts of statistics. In this session, you'll learn how to compute basic descriptive statistics in Excel. You'll also learn how to run correlations and regressions in Excel.This session will be most helpful if: You already are comfortable with using functions in Excel.You don't need a fancy pants program to compute several different sorts of statistics. In this session, you'll learn how to compute basic descriptive statistics in Excel. You'll also learn how to run correlations and regressions in Excel.This session will be most helpful if: You already are comfortable with using functions in Excel.",Stephen Doig,Nob Hill C,1:30 p.m. - 2:30 p.m.
"They're talking behind your back: Requesting emails, texts and more",http://ire.org/events-and-training/event/975/1361/,"*Moderated by Mike McGraw, Kansas City Public Television
Learn proven strategies for getting texts, documents and emails and making FOIA work for you.*Moderated by Mike McGraw, Kansas City Public TelevisionLearn proven strategies for getting texts, documents and emails and making FOIA work for you.","Jack Gillum, Doug Pardue, Mike McGraw, Emily Grannis",Salon 7,1:30 p.m. - 2:30 p.m.
On the beat: Local government,http://ire.org/events-and-training/event/975/1382/,"*Moderated by Matthew Doig, Newsday
DO NOT attend this panel discussion. Your stories should be boring rewrites of the press releases and reports we give out to make us look better. If you listen to these dangerous people, you might learn how to get the documents and stories that expose our incompetence and/or corruption. So skip this session and visit Alcatraz. Sincerely, Bureaucrats From the Agency You Cover*Moderated by Matthew Doig, NewsdayDO NOT attend this panel discussion. Your stories should be boring rewrites of the press releases and reports we give out to make us look better. If you listen to these dangerous people, you might learn how to get the documents and stories that expose our incompetence and/or corruption. So skip this session and visit Alcatraz. Sincerely, Bureaucrats From the Agency You Cover","Patti Epler, Norberto Santana Jr., Michael Stoll, Matthew Doig",YBB Salon 12-13,1:30 p.m. - 2:30 p.m.
The art of storytelling: Forensics,http://ire.org/events-and-training/event/975/1363/,"Learn to investigate your own writing from the inside out. What are the habits and patterns that power your stories up — or drag them down? You’ll do a diagnostic of your own writing and discover ways to make your stories leaner, cleaner and more compelling. This is a hands-on workshop. Please bring hard copies of at least three pieces of your own writing (not yet line-edited by someone else) and at least two highlighter pens of different colors.Learn to investigate your own writing from the inside out. What are the habits and patterns that power your stories up — or drag them down? You’ll do a diagnostic of your own writing and discover ways to make your stories leaner, cleaner and more compelling. This is a hands-on workshop. Please bring hard copies of at least three pieces of your own writing (not yet line-edited by someone else) and at least two highlighter pens of different colors.",Jacqui Banaszynski,Salon 10-11,1:30 p.m. - 2:30 p.m.
PDF madness (Sponsored by Knight Foundation),http://ire.org/events-and-training/event/975/1420/,"If you've ever been on the receiving end of a records dump delivered in PDF, you know how challenging it can be to effectively analyze the information locked inside. We'll demonstrate low-cost, easy-to-use technology for handling the most problematic PDFs, including data-packed government reports, scanned images and password-protected documents. By approaching PDFs with a simple set of questions, we'll show you how to save time and apply a method to the madness. And we will leave some room for Q & A and troubleshooting if you have a specific issue you are trying to solve too.If you've ever been on the receiving end of a records dump delivered in PDF, you know how challenging it can be to effectively analyze the information locked inside. We'll demonstrate low-cost, easy-to-use technology for handling the most problematic PDFs, including data-packed government reports, scanned images and password-protected documents. By approaching PDFs with a simple set of questions, we'll show you how to save time and apply a method to the madness. And we will leave some room for Q & A and troubleshooting if you have a specific issue you are trying to solve too.","Tyler Dukes, Cheryl Phillips",Nob Hill AB,1:30 p.m. - 2:30 p.m.
Unmasking the cheaters: From biogenesis to BALCO,http://ire.org/events-and-training/event/975/1347/,"*Moderated by Mark Fainaru-Wada, ESPN
It’s been 11 years since BALCO exploded into the public consciousness: A grand jury, designer steroids, baseball, Barry Bonds. Fans were forced to confront widespread fraud in sports. Yet, a decade later, has anything really changed? The Biogenesis scandal reads like BALCO 2.0, laying hollow baseball’s claims to have cleaned up its act. Three reporters who broke these stories discuss their techniques, steroids in sports and how to cover a topic that just won’t go away.*Moderated by Mark Fainaru-Wada, ESPNIt’s been 11 years since BALCO exploded into the public consciousness: A grand jury, designer steroids, baseball, Barry Bonds. Fans were forced to confront widespread fraud in sports. Yet, a decade later, has anything really changed? The Biogenesis scandal reads like BALCO 2.0, laying hollow baseball’s claims to have cleaned up its act. Three reporters who broke these stories discuss their techniques, steroids in sports and how to cover a topic that just won’t go away.","Tim Elfrink, T.J. Quinn, Mark Fainaru-Wada, Lance Williams",Salon 8,1:30 p.m. - 2:30 p.m.
Stop drowning in data. Start making sense! (part 1),http://ire.org/events-and-training/event/975/1438/,"Using a free Firefox add-on, and some simple code that anyone can understand (it's practically plain English), we'll learn how to ""interview"" sprawling datasets to find strong reporting leads, using data from this story. (Or in geek-speak: An introduction to SQLite databases.)We’ll also go over the basics like: What is a database and how does it differ from a spreadsheet? We’ll then dig into the drug company Pfizer and its payments to doctors using Structured Query Language (SQL). We'll filter data using SELECT and WHERE, and sort it using ORDER BY. Then we'll aggregate the data to ask questions like ""how much?"" and ""how many?"" using GROUP BY, COUNT, SUM and HAVING. We'll work with numbers and text, and learn to use LIKE and wildcard symbols to deal with messy text entries.Using a free Firefox add-on, and some simple code that anyone can understand (it's practically plain English), we'll learn how to ""interview"" sprawling datasets to find strong reporting leads, using data from this story. (Or in geek-speak: An introduction to SQLite databases.)We’ll also go over the basics like: What is a database and how does it differ from a spreadsheet? We’ll then dig into the drug company Pfizer and its payments to doctors using Structured Query Language (SQL). We'll filter data using SELECT and WHERE, and sort it using ORDER BY. Then we'll aggregate the data to ask questions like ""how much?"" and ""how many?"" using GROUP BY, COUNT, SUM and HAVING. We'll work with numbers and text, and learn to use LIKE and wildcard symbols to deal with messy text entries.",Peter Aldhous,Nob Hill D,1:30 p.m. - 2:30 p.m.
Investigating religion,http://ire.org/events-and-training/event/975/1371/,"*Moderated by Kevin Davis, Investigative News Network
Today, religious institutions, citizens and practices touch all aspects of civil society and have a significant influence on American Politics. This panel will focus on methodologies and strategies for effectively covering this beat. In particular, our experienced panelists will discuss how to follow the money, follow the real estate and, perhaps most importantly, how to leverage public records to uncover the often opaque holdings and expenditures by and on behalf of religious institutions*Moderated by Kevin Davis, Investigative News NetworkToday, religious institutions, citizens and practices touch all aspects of civil society and have a significant influence on American Politics. This panel will focus on methodologies and strategies for effectively covering this beat. In particular, our experienced panelists will discuss how to follow the money, follow the real estate and, perhaps most importantly, how to leverage public records to uncover the often opaque holdings and expenditures by and on behalf of religious institutions","Madeleine Baran, Stuart Watson, Eric Gorski, Kevin Davis",Salon 8,2:40 p.m. - 3:40 p.m.
Cross-border investigations,http://ire.org/events-and-training/event/975/1335/,"*Moderated by Trish Wilson, The Associated Press
Cross-border collaborations offer a new model for investigative journalism, one that can make a world of difference in landing a hot story. This approach offers journalists who would normally focus on one country a wider, global platform. Data difficult to obtain in one country is often available in others, and the cross-border strategy makes better use of dwindling resources. This panel will show you how it’s been used --  from organized crime and corruption investigations to foreign policy debacles.*Moderated by Trish Wilson, The Associated PressCross-border collaborations offer a new model for investigative journalism, one that can make a world of difference in landing a hot story. This approach offers journalists who would normally focus on one country a wider, global platform. Data difficult to obtain in one country is often available in others, and the cross-border strategy makes better use of dwindling resources. This panel will show you how it’s been used --  from organized crime and corruption investigations to foreign policy debacles.","Paul Radu, Gerard Ryle, Rana Sabbagh, Trish Wilson",Salon 7,2:40 p.m. - 3:40 p.m.
Investigating veterans issues (Sponsored by Dart Center for Journalism & Trauma),http://ire.org/events-and-training/event/975/1468/,"*Moderated by Bruce Shapiro, Dart Center for Journalism & Trauma
Wait times at VA hospitals have become a national issue, but they are only one of many problems faced by veterans. Learn where to find information to tell stories at the local and national level to dig into the difficulties faced by veterans.*Moderated by Bruce Shapiro, Dart Center for Journalism & TraumaWait times at VA hospitals have become a national issue, but they are only one of many problems faced by veterans. Learn where to find information to tell stories at the local and national level to dig into the difficulties faced by veterans.","Bruce Shapiro, Aaron Glantz, Michael Phillips",Salon 12-13,2:40 p.m. - 3:40 p.m.
Broadcast: Writing for broadcast,http://ire.org/events-and-training/event/975/1407/,"Whether you write quick-turn investigations or long-format documentaries, this panel will help you turn complicated material into compelling broadcast stories. TV veterans or  newspaper reporters turned broadcasters will benefit from this show and tell panel. Andy Pierrotti with KVUE News/ABC in Austin will explain how to create more memorable moments with less script, investigative reporter Vicky Nguyen with KNTV NBC Bay Area will show you how to use a variety of storytelling techniques to create compelling content on air and online and Michael Kirk, a founder of PBS’ FRONTLINE and producer/director/writer of dozens of documentaries will reveal the secrets  of telling complicated investigative stories with maximum impact.Whether you write quick-turn investigations or long-format documentaries, this panel will help you turn complicated material into compelling broadcast stories. TV veterans or  newspaper reporters turned broadcasters will benefit from this show and tell panel. Andy Pierrotti with KVUE News/ABC in Austin will explain how to create more memorable moments with less script, investigative reporter Vicky Nguyen with KNTV NBC Bay Area will show you how to use a variety of storytelling techniques to create compelling content on air and online and Michael Kirk, a founder of PBS’ FRONTLINE and producer/director/writer of dozens of documentaries will reveal the secrets  of telling complicated investigative stories with maximum impact.","Michael Kirk, Vicky Nguyen, Andy Pierrotti",Golden Gate B,2:40 p.m. - 3:40 p.m.
The art of storytelling: Danger from above,http://ire.org/events-and-training/event/975/1364/,"Pulitzer winner Louise Kiernan will take the audience inside her two-part narrative project “Danger from Above” as part of our “master class” series.  These special panels are designed to dig in deep into narrative arc, structure and character development.If you plan to attend this panel, please read the following stories in advance. We’d like attendees to be familiar with the project, which should lead to a more robust discussion of the story-telling choices.
Danger from above - Part 1
Danger from above - Part 2Pulitzer winner Louise Kiernan will take the audience inside her two-part narrative project “Danger from Above” as part of our “master class” series.  These special panels are designed to dig in deep into narrative arc, structure and character development.If you plan to attend this panel, please read the following stories in advance. We’d like attendees to be familiar with the project, which should lead to a more robust discussion of the story-telling choices.Danger from above - Part 1Danger from above - Part 2",Louise Kiernan,Salon 10-11,2:40 p.m. - 3:40 p.m.
Pivot tables for stories (repeat),http://ire.org/events-and-training/event/975/1435/,A look at the awesome power of pivot - and how to use it to analyze your dataset in minutes rather than hours.This session will be most helpful if: You are familiar with formulas in Excel or another spreadsheet program.A look at the awesome power of pivot - and how to use it to analyze your dataset in minutes rather than hours.This session will be most helpful if: You are familiar with formulas in Excel or another spreadsheet program.,Denise Malan,Nob Hill C,2:40 p.m. - 3:40 p.m.
Managers track: Watchdog teams and newsroom teamwork - How to be successful and inclusive,http://ire.org/events-and-training/event/975/1307/,"*Moderated by Amy Pyle, The Center for Investigative Reporting
Three news pros discuss the advantages of teamwork in investigative reporting. Topics will include various approaches to building investigative teams, both permanent I-teams and temporary SWAT-style teams, and panelists will detail their inside secrets for avoiding exclusivity and jealousy. Discussion also will center on how to get the benefits of a team when one is not possible, including in smaller news operations, by fostering collaboration and hiring for complementary skills.*Moderated by Amy Pyle, The Center for Investigative ReportingThree news pros discuss the advantages of teamwork in investigative reporting. Topics will include various approaches to building investigative teams, both permanent I-teams and temporary SWAT-style teams, and panelists will detail their inside secrets for avoiding exclusivity and jealousy. Discussion also will center on how to get the benefits of a team when one is not possible, including in smaller news operations, by fostering collaboration and hiring for complementary skills.","Greg Borowski, Lawan Hamilton, George Papajohn, Amy Pyle",Salon 1-3,2:40 p.m. - 3:40 p.m.
Banjo - The Secret weapon for breaking news & investigative reporting (Sponsored by Knight Foundation),http://ire.org/events-and-training/event/975/1421/,"Banjo was introduced last year at IRE and since then has been used for breaking news around the globe. NBC said, ""Banjo gives you an advantage. It allows you to have an extra set of eyes & ears on the ground. You can get the information more quickly, get it confirmed faster, & get it out there."" During this demo, you will see how this powerful tool can help you break news by dropping into any part of the world to get instant on the ground access and even go back in time to re-create a timeline of events.Banjo was introduced last year at IRE and since then has been used for breaking news around the globe. NBC said, ""Banjo gives you an advantage. It allows you to have an extra set of eyes & ears on the ground. You can get the information more quickly, get it confirmed faster, & get it out there."" During this demo, you will see how this powerful tool can help you break news by dropping into any part of the world to get instant on the ground access and even go back in time to re-create a timeline of events.",Jennifer Peck,Nob Hill AB,2:40 p.m. - 3:40 p.m.
Legacy of the Chauncey Bailey Project,http://ire.org/events-and-training/event/975/1326/,"*Moderated by Robert Rosenthal, The Center for Investigative Reporting
On the morning of August 2, 2007, Chauney Bailey, the editor of the Oakland Post was walking to his office in Oakland when a masked man carrying a shotgun ran up to him and fired three times. Bailey was assassinated because he was a journalist. A group of journalists in the Bay Area, many of whom had known and worked with Bailey, came to together with the goal of bringing his killers to justice and to continue the investigation he was working on. This panel will discuss the challenges, risks, and the satisfaction gained from a unique and important collaboration.*Moderated by Robert Rosenthal, The Center for Investigative ReportingOn the morning of August 2, 2007, Chauney Bailey, the editor of the Oakland Post was walking to his office in Oakland when a masked man carrying a shotgun ran up to him and fired three times. Bailey was assassinated because he was a journalist. A group of journalists in the Bay Area, many of whom had known and worked with Bailey, came to together with the goal of bringing his killers to justice and to continue the investigation he was working on. This panel will discuss the challenges, risks, and the satisfaction gained from a unique and important collaboration.","Bob Butler, Mary Fricker, Thomas Peele, Robert Rosenthal,",Salon 4-6,2:40 p.m. - 3:40 p.m.
Stop drowning in data. Start making sense! (part 2),http://ire.org/events-and-training/event/975/1439/,"Using a free Firefox add-on, and some simple code that anyone can understand (it's practically plain English), we'll learn how to ""interview"" sprawling datasets to find strong reporting leads, using data from this story. (Or in geek-speak: An introduction to SQLite databases.)We’ll also go over how to create a data table and import your data into into it. We'll ask questions involving dates, and discover how to do some simple math. Then we'll learn why databases are powerful tools for enterprise reporting, by running join queries on two datasets that were not designed to meet. As time permits, we'll learn the difference between INNER JOIN and LEFT JOIN, and other SQL tricks. Using a free Firefox add-on, and some simple code that anyone can understand (it's practically plain English), we'll learn how to ""interview"" sprawling datasets to find strong reporting leads, using data from this story. (Or in geek-speak: An introduction to SQLite databases.)We’ll also go over how to create a data table and import your data into into it. We'll ask questions involving dates, and discover how to do some simple math. Then we'll learn why databases are powerful tools for enterprise reporting, by running join queries on two datasets that were not designed to meet. As time permits, we'll learn the difference between INNER JOIN and LEFT JOIN, and other SQL tricks. ",Peter Aldhous,Nob Hill D,2:40 p.m. - 3:40 p.m.
Getting data into Excel,http://ire.org/events-and-training/event/975/1440/,"Don't let hard-to-use data ruin your day. Learn how to import a variety of formats (such as text files, HTML tables, PDFs) into Excel.This session will be most useful if: You are familiar with Excel or another spreadsheet program.Don't let hard-to-use data ruin your day. Learn how to import a variety of formats (such as text files, HTML tables, PDFs) into Excel.This session will be most useful if: You are familiar with Excel or another spreadsheet program.",Joe Yerardi,Nob Hill D,3:50 p.m. - 4:35 p.m.
"Deep dive: Mobile-first journalism, making big stories work on small screens",http://ire.org/events-and-training/event/975/1337/,"Smart phones and tablets are rising fast to become the dominant digital platforms for news and information. In this deep dive, speak with a leading mobile journalism expert on how you can think ""mobile first"" and ensure your stories work - and win - with these vast mobile audiences.Smart phones and tablets are rising fast to become the dominant digital platforms for news and information. In this deep dive, speak with a leading mobile journalism expert on how you can think ""mobile first"" and ensure your stories work - and win - with these vast mobile audiences.",David Ho,Salon 7,3:50 p.m. - 4:35 p.m.
Deep dive: Audio storytelling,http://ire.org/events-and-training/event/975/1327/,"Audio is a powerful way to tell your investigative story. Radio audiences are holding and podcast popularity is growing. So how do you get the most out of your investigation to make your audio stories compelling and memorable? Daniel Velasco and Susanne Reber, two award winning radio investigative journalists take you through tips that unleash the power of narrative in the audio medium.Audio is a powerful way to tell your investigative story. Radio audiences are holding and podcast popularity is growing. So how do you get the most out of your investigation to make your audio stories compelling and memorable? Daniel Velasco and Susanne Reber, two award winning radio investigative journalists take you through tips that unleash the power of narrative in the audio medium.","Daniel Velasco, Susanne Reber",Salon 4-6,3:50 p.m. - 4:35 p.m.
Deep dive: Investigating economic disparities,http://ire.org/events-and-training/event/975/1486/,"Inequality, the defining issue of our time, is a subtle and complex issue. It is not, for example, synonymous with poverty. And it is about much more than just dollars. Health care, environmental hazards, wage theft, incarceration and access to the requisite tools for success all play a role. Learn where to find data, ways to think about the issues and how to engage audiences.Inequality, the defining issue of our time, is a subtle and complex issue. It is not, for example, synonymous with poverty. And it is about much more than just dollars. Health care, environmental hazards, wage theft, incarceration and access to the requisite tools for success all play a role. Learn where to find data, ways to think about the issues and how to engage audiences.",David Cay Johnston,Salon 8,3:50 p.m. - 4:35 p.m.
Deep dive: Student investigations,http://ire.org/events-and-training/event/975/1365/,"IRE student journalism winners from Butler University and Northwestern University talk about their investigations and the impact that followed their work, from revelations that a visiting  professor named to head the new nonprofit Desmond Tutu Center at Butler University, had previously misused funds at a nonprofit he managed in South Africa, to Medill's creation of the largest publicly available national database on shaken-baby syndrome and the impact on the criminal justice system. A look inside today’s journalism schools and their groundbreaking work.IRE student journalism winners from Butler University and Northwestern University talk about their investigations and the impact that followed their work, from revelations that a visiting  professor named to head the new nonprofit Desmond Tutu Center at Butler University, had previously misused funds at a nonprofit he managed in South Africa, to Medill's creation of the largest publicly available national database on shaken-baby syndrome and the impact on the criminal justice system. A look inside today’s journalism schools and their groundbreaking work.","Alec Klein, Ryan Lovelace, Loni Smith McKown, Christina Assi, Kristin Gilger",Salon 10-11,3:50 p.m. - 4:35 p.m.
Deep dive: Broadcast,http://ire.org/events-and-training/event/975/1402/,An in-depth look at some of the biggest broadcast stories of the year. Reporters and producers showcase how they got the story and successfully executed it. Learn tips and strategies to make a strong and compelling broadcast investigation.An in-depth look at some of the biggest broadcast stories of the year. Reporters and producers showcase how they got the story and successfully executed it. Learn tips and strategies to make a strong and compelling broadcast investigation.,"Keli Rabon, Ira Rosen, Tisha Thompson, Rick Yarborough",Golden Gate B,3:50 p.m. - 4:35 p.m.
Deep dive: Charting the course to an investigative newsroom,http://ire.org/events-and-training/event/975/1308/,"Would you like to do more investigative reporting in your newsroom but don't know how to pull it off? Have budget cuts, staff downsizing and increased digital demands stretched your resources to the point where it seems there's no time to do investigative reporting? This session will examine the Watchdog Model, which outlines simple steps any reporter or editor can use to stay focused and create an investigative culture in the newsroom.Would you like to do more investigative reporting in your newsroom but don't know how to pull it off? Have budget cuts, staff downsizing and increased digital demands stretched your resources to the point where it seems there's no time to do investigative reporting? This session will examine the Watchdog Model, which outlines simple steps any reporter or editor can use to stay focused and create an investigative culture in the newsroom.",Gary Dotson,Salon 1-3,3:50 p.m. - 4:35 p.m.
Crack PDFs with Tabula,http://ire.org/events-and-training/event/975/1436/,"Ever receive a FOIA response that has all the data you want -- but in PDF files? Ever try accessing that data in Excel or database software? You can do it with Tabula. We'll show you how. Tabula is a tool to extract data tables from PDF files. It’s free, open source, built by journalists and doesn't send your sensitive data over the internet. At this hands-on workshop, we'll teach you how to use it with real world examples -- or, if you bring your own PDFs, we'll show you how to liberate the data. (Tabula doesn't work with scanned or OCRed PDFs -- only PDFs with embedded text. That is, if you can select text on the PDF, Tabula will work.)Bring your laptop (Mac, PC or even Linux) and we'll help you install it, too, of course.
 Ever receive a FOIA response that has all the data you want -- but in PDF files? Ever try accessing that data in Excel or database software? You can do it with Tabula. We'll show you how. Tabula is a tool to extract data tables from PDF files. It’s free, open source, built by journalists and doesn't send your sensitive data over the internet. At this hands-on workshop, we'll teach you how to use it with real world examples -- or, if you bring your own PDFs, we'll show you how to liberate the data. (Tabula doesn't work with scanned or OCRed PDFs -- only PDFs with embedded text. That is, if you can select text on the PDF, Tabula will work.)Bring your laptop (Mac, PC or even Linux) and we'll help you install it, too, of course. ",Mike Tigas,Nob Hill C,3:50 p.m. - 4:35 p.m.
Deep dive: Tracking money in politics with MapLight (Sponsored by Knight Foundation),http://ire.org/events-and-training/event/975/1489/,"MapLight is a nonpartisan research organization tracking money's influence on politics. Their data and tools bring together campaign money, lawmaker's votes, and more, to connect the dots on political influence. This session includes both the overview and specifics of MapLight's current tools, and what's coming next. Includes plenty of time for Q&A and discussion, tailored to the audience.MapLight is a nonpartisan research organization tracking money's influence on politics. Their data and tools bring together campaign money, lawmaker's votes, and more, to connect the dots on political influence. This session includes both the overview and specifics of MapLight's current tools, and what's coming next. Includes plenty of time for Q&A and discussion, tailored to the audience.","Jay Costa, Daniel Newman",Nob Hill AB,3:50 p.m. - 4:35 p.m.
Deep dive: Design thinking for journalists,http://ire.org/events-and-training/event/975/1383/,"Design thinking is a process that helps create successful consumer products –bicycle seats that fit right, instinctive ATM interfaces, safer hospital protocols.  What if we used design thinking to craft news stories and news apps that people need, want and use? What if we could enable a generation of journalists who are flexible and creative? Marie Gilot, former newspaper reporter and now program associate at the Knight Foundation and Heather Chaplin, director of the Journalism + Design program at The New School, who covered video games for more than a decade, will explore what it means to apply design thinking to journalism and journalism education, as well as the tensions that exist between the journalism and design worlds.Design thinking is a process that helps create successful consumer products –bicycle seats that fit right, instinctive ATM interfaces, safer hospital protocols.  What if we used design thinking to craft news stories and news apps that people need, want and use? What if we could enable a generation of journalists who are flexible and creative? Marie Gilot, former newspaper reporter and now program associate at the Knight Foundation and Heather Chaplin, director of the Journalism + Design program at The New School, who covered video games for more than a decade, will explore what it means to apply design thinking to journalism and journalism education, as well as the tensions that exist between the journalism and design worlds.","Marie Gilot, Heather Chaplin",Salon 12-13,3:50 p.m. - 4:35 p.m.
Finding stories in Medicare’s vast data trove (Sponsored by Association of Health Care Journalists),http://ire.org/events-and-training/event/975/1395/,"In the past couple years, Medicare has released several massive data sets that are transforming the way that journalists cover health care. These data sets detail the payments that providers have received from Medicare, the prescriptions written by them and information about their referral networks. Later this year, the government will release data on payments from drug and medical device companies to doctors. Come to this session for information on how to use these data sets and important context to keep in mind.In the past couple years, Medicare has released several massive data sets that are transforming the way that journalists cover health care. These data sets detail the payments that providers have received from Medicare, the prescriptions written by them and information about their referral networks. Later this year, the government will release data on payments from drug and medical device companies to doctors. Come to this session for information on how to use these data sets and important context to keep in mind.","David Donald, Jennifer LaFleur, Charles Ornstein, John Carreyrou",Salon 4-6,4:45 p.m. - 6:15 p.m.
SHOWCASE PANEL They're watching you: Investigating the surveillance society and protecting your work from prying eyes,http://ire.org/events-and-training/event/975/1349/,"*Moderated by Leonard Downie, Jr, ASU Walter Cronkite School of Journalism
How did The Guardian, The Washington Post and The New York Times explore the NSA revelations and investigate other government and commercial surveillance? How did they deal with the U. S. and British governments? How did their journalists safeguard their work from digital intrusion? Are other investigative journalists vulnerable to surveillance – even from local cops? What can they do about it? Leading editors, reporters and press freedom advocates describe how to do accountability journalism in a surveillance society.*Moderated by Leonard Downie, Jr, ASU Walter Cronkite School of JournalismHow did The Guardian, The Washington Post and The New York Times explore the NSA revelations and investigate other government and commercial surveillance? How did they deal with the U. S. and British governments? How did their journalists safeguard their work from digital intrusion? Are other investigative journalists vulnerable to surveillance – even from local cops? What can they do about it? Leading editors, reporters and press freedom advocates describe how to do accountability journalism in a surveillance society.","Jill Abramson, Geoffrey King, Dominic Rushe, Trevor Timm, Leonard Downie, Jr",Salon 8,4:45 p.m. - 6:15 p.m.
Broadcast: Consumer investigations,http://ire.org/events-and-training/event/975/1403/,"*Moderated by Lea Thompson, LT Productions
Stories on health, safety, environment and consumer goods and services have enormous impact that can make a difference anywhere.  Whether you need quick hits, or you have to boil down 6 months of work into 2 ½ minutes this panel has 90 minutes to give you hundreds of ideas and tips on how to get it done with substance and style. This panel is also good for anyone who needs video for the web.*Moderated by Lea Thompson, LT ProductionsStories on health, safety, environment and consumer goods and services have enormous impact that can make a difference anywhere.  Whether you need quick hits, or you have to boil down 6 months of work into 2 ½ minutes this panel has 90 minutes to give you hundreds of ideas and tips on how to get it done with substance and style. This panel is also good for anyone who needs video for the web.","Kurtis Ming, Tanya Rivera, Lea Thompson, Julie Watts",Golden Gate B,4:45 p.m. - 6:15 p.m.
When data don't exist,http://ire.org/events-and-training/event/975/1384/,"You've got a great story idea but no one tracks the data. Time to quit, right? Wrong. We'll show you the tools, and the pitfalls, of making your own data when no data exists.You've got a great story idea but no one tracks the data. Time to quit, right? Wrong. We'll show you the tools, and the pitfalls, of making your own data when no data exists.","Robert Benincasa, Sarah Cohen, Daniel Lathrop",Salon 12-13,4:45 p.m. - 6:15 p.m.
From the newsroom to the classroom,http://ire.org/events-and-training/event/975/1366/,"*Moderated by Bill Buzenberg, The Center for Public Integrity
More and more journalists are combining teaching and journalism in some form. We’ve found some interesting models to demonstrate how this can be done, either full-time or part-time, in order to capture the best of both worlds. Learn about the triumphs and challenges of juggling teaching and investigative reporting from three journalists who have been successful at making this transition.*Moderated by Bill Buzenberg, The Center for Public IntegrityMore and more journalists are combining teaching and journalism in some form. We’ve found some interesting models to demonstrate how this can be done, either full-time or part-time, in order to capture the best of both worlds. Learn about the triumphs and challenges of juggling teaching and investigative reporting from three journalists who have been successful at making this transition.","Nate Carlisle, Cheryl W. Thompson, Duff Wilson, Bill Buzenberg",Salon 10-11,4:45 p.m. - 6:15 p.m.
Data makeover: Make dirty data usable with Excel functions,http://ire.org/events-and-training/event/975/1437/,"Data we get from public records requests or even posted online is often structured in a way that doesn't make it easy to analyze.  We'll use real data examples to show you various ways to easily tackle some of the more common problems, using Excel functions, some basic Excel tools you might not know about and a useful add-in tool.Data we get from public records requests or even posted online is often structured in a way that doesn't make it easy to analyze.  We'll use real data examples to show you various ways to easily tackle some of the more common problems, using Excel functions, some basic Excel tools you might not know about and a useful add-in tool.",MaryJo Webster,Nob Hill C,4:45 p.m. - 6:15 p.m.
Backgrounding strategies (Sponsored by Knight Foundation),http://ire.org/events-and-training/event/975/1491/,Build up your backgrounding toolkit with new resources and ideas for finding people and uncovering what they are about. We'll cover everything from mining social media and finding birth dates to tracking a family's criminal history.Build up your backgrounding toolkit with new resources and ideas for finding people and uncovering what they are about. We'll cover everything from mining social media and finding birth dates to tracking a family's criminal history.,"Jaimi Dowdell, Roseann Moring",Nob Hill AB,4:45 p.m. - 6:15 p.m.
Google Fusion for beginners,http://ire.org/events-and-training/event/975/1441/,"At the end of this session attendees will be able to use Excel to prepare a data set for mapping, and they will be able to map the data set as points on a map (including pop up boxes, different types of markers, how to include pictures etc).At the end of this session attendees will be able to use Excel to prepare a data set for mapping, and they will be able to map the data set as points on a map (including pop up boxes, different types of markers, how to include pictures etc).",Niels Heimeriks,Nob Hill D,4:45 p.m. - 6:15 p.m.
"Follow the money: Tracking fraud, waste and mismanagement (Sponsored by Bloomberg)",http://ire.org/events-and-training/event/975/1309/,"*Moderated by David Evans, Bloomberg Markets Magazine
Did you cross the SF-Oakland Bay Bridge en route to this conference? Congratulations on your safe arrival. We'll learn about an investigation of shoddy construction and problematic safety testing. You might reconsider your route home. We’ll also cover probing fraud, lavish spending and lax management at a Montreal tourist attraction, and taxpayer-funded rehab clinics in California that falsified documents and bribed clients.*Moderated by David Evans, Bloomberg Markets MagazineDid you cross the SF-Oakland Bay Bridge en route to this conference? Congratulations on your safe arrival. We'll learn about an investigation of shoddy construction and problematic safety testing. You might reconsider your route home. We’ll also cover probing fraud, lavish spending and lax management at a Montreal tourist attraction, and taxpayer-funded rehab clinics in California that falsified documents and bribed clients.","Andrew McIntosh, Charles Piller, David Evans, Will Evans",Salon 1-3,4:45 p.m. - 6:15 p.m.
IRE Sales Table (Saturday),http://ire.org/events-and-training/event/975/1458/,"Stop by the IRE sales table and take a look at our merchandise. We will be selling books, the large selection of titles we carry will certainly include your interests. All proceeds from your purchase help support IRE and its mission.Stop by the IRE sales table and take a look at our merchandise. We will be selling books, the large selection of titles we carry will certainly include your interests. All proceeds from your purchase help support IRE and its mission.",TBA,Lower B2 Level,8 a.m. - 5 p.m.
IRE Conference Registration (Saturday),http://ire.org/events-and-training/event/975/1462/,Registration will be located on lower B2 level of the San Francisco Marriott Marquis.Registration will be located on lower B2 level of the San Francisco Marriott Marquis.,TBA,Lower B2 Level,8 a.m. - 5 p.m.
